행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,2020년11월_계_0세,2020년11월_남_총인구수,2020년11월_남_연령구간인구수,2020년11월_남_0세,2020년11월_여_총인구수,2020년11월_여_연령구간인구수,2020년11월_여_0세
서울특별시 성동구 성수1가제2동(1120066000),"13,512",60,60,"6,648",31,31,"6,864",29,29
서울특별시 성동구 성수2가제1동(1120067000),"16,644",68,68,"8,707",37,37,"7,937",31,31
서울특별시 성동구 성수2가제3동(1120069000),"11,180",56,56,"5,660",21,21,"5,520",35,35
서울특별시 성동구 송정동(1120072000),"10,745",38,38,"5,668",20,20,"5,077",18,18
서울특별시 성동구 용답동(1120079000),"11,813",33,33,"6,263",15,15,"5,550",18,18
서울특별시 광진구 (1121500000),"347,285","1,396","1,396","167,626",721,721,"179,659",675,675
서울특별시 광진구 화양동(1121571000),"22,605",28,28,"10,703",16,16,"11,902",12,12
서울특별시 광진구 군자동(1121573000),"19,936",72,72,"9,848",34,34,"10,088",38,38
서울특별시 광진구 중곡제1동(1121574000),"15,736",70,70,"7,676",34,34,"8,060",36,36
서울특별시 광진구 중곡제2동(1121575000),"21,998",79,79,"10,423",38,38,"11,575",41,41
서울특별시 광진구 중곡제3동(1121576000),"16,736",73,73,"8,301",40,40,"8,435",33,33
서울특별시 광진구 중곡제4동(1121577000),"29,551",121,121,"14,481",63,63,"15,070",58,58
서울특별시 광진구 능동(1121578000),"11,602",69,69,"5,335",36,36,"6,267",33,33
서울특별시 광진구 광장동(1121581000),"35,528",135,135,"17,143",64,64,"18,385",71,71
서울특별시 광진구 자양제1동(1121582000),"22,805",85,85,"10,967",44,44,"11,838",41,41
서울특별시 광진구 자양제2동(1121583000),"25,731",111,111,"12,526",57,57,"13,205",54,54
서울특별시 광진구 자양제3동(1121584000),"28,751",164,164,"13,805",89,89,"14,946",75,75
서울특별시 광진구 자양제4동(1121584700),"17,835",56,56,"8,896",30,30,"8,939",26,26
서울특별시 광진구 구의제1동(1121585000),"22,080",73,73,"10,545",40,40,"11,535",33,33
서울특별시 광진구 구의제2동(1121586000),"27,077",117,117,"13,035",68,68,"14,042",49,49
서울특별시 광진구 구의제3동(1121587000),"29,314",143,143,"13,942",68,68,"15,372",75,75
서울특별시 동대문구 (1123000000),"343,377","1,622","1,622","170,088",833,833,"173,289",789,789
서울특별시 동대문구 용신동(1123053600),"31,122",123,123,"15,792",65,65,"15,330",58,58
서울특별시 동대문구 제기동(1123054500),"25,011",93,93,"12,847",58,58,"12,164",35,35
서울특별시 동대문구 전농제1동(1123056000),"30,194",159,159,"15,152",80,80,"15,042",79,79
서울특별시 동대문구 전농제2동(1123057000),"19,206",66,66,"9,242",41,41,"9,964",25,25
서울특별시 동대문구 답십리제1동(1123060000),"29,156",241,241,"14,122",121,121,"15,034",120,120
서울특별시 동대문구 답십리제2동(1123061000),"29,356",180,180,"14,258",90,90,"15,098",90,90
서울특별시 동대문구 장안제1동(1123065000),"38,702",195,195,"19,234",99,99,"19,468",96,96
서울특별시 동대문구 장안제2동(1123066000),"33,060",208,208,"16,555",106,106,"16,505",102,102
서울특별시 동대문구 청량리동(1123070500),"20,181",49,49,"10,090",25,25,"10,091",24,24
서울특별시 동대문구 회기동(1123071000),"10,457",28,28,"4,998",17,17,"5,459",11,11
서울특별시 동대문구 휘경제1동(1123072000),"13,635",75,75,"6,594",31,31,"7,041",44,44
서울특별시 동대문구 휘경제2동(1123073000),"24,326",83,83,"12,071",37,37,"12,255",46,46
서울특별시 동대문구 이문제1동(1123074000),"18,478",39,39,"9,190",22,22,"9,288",17,17
서울특별시 동대문구 이문제2동(1123075000),"20,493",83,83,"9,943",41,41,"10,550",42,42
서울특별시 중랑구 (1126000000),"395,194","1,753","1,753","195,469",918,918,"199,725",835,835
서울특별시 중랑구 면목제2동(1126052000),"24,908",93,93,"12,410",50,50,"12,498",43,43
서울특별시 중랑구 면목제4동(1126054000),"18,915",80,80,"9,435",43,43,"9,480",37,37
서울특별시 중랑구 면목제5동(1126055000),"14,484",117,117,"7,303",59,59,"7,181",58,58
서울특별시 중랑구 면목본동(1126056500),"34,565",143,143,"17,160",74,74,"17,405",69,69
서울특별시 중랑구 면목제7동(1126057000),"22,385",111,111,"11,225",60,60,"11,160",51,51
서울특별시 중랑구 면목제3.8동(1126057500),"25,580",88,88,"12,693",40,40,"12,887",48,48
서울특별시 중랑구 상봉제1동(1126058000),"24,795",117,117,"12,144",60,60,"12,651",57,57
서울특별시 중랑구 상봉제2동(1126059000),"19,867",116,116,"9,678",55,55,"10,189",61,61
서울특별시 중랑구 중화제1동(1126060000),"20,290",118,118,"9,945",60,60,"10,345",58,58
서울특별시 중랑구 중화제2동(1126061000),"25,655",86,86,"13,177",51,51,"12,478",35,35
서울특별시 중랑구 묵제1동(1126062000),"35,520",127,127,"17,215",63,63,"18,305",64,64
서울특별시 중랑구 묵제2동(1126063000),"19,484",84,84,"9,591",47,47,"9,893",37,37
서울특별시 중랑구 망우본동(1126065500),"30,417",109,109,"15,291",59,59,"15,126",50,50
서울특별시 중랑구 망우제3동(1126066000),"17,179",58,58,"8,635",35,35,"8,544",23,23
서울특별시 중랑구 신내1동(1126068000),"39,886",186,186,"19,428",92,92,"20,458",94,94
서울특별시 중랑구 신내2동(1126069000),"21,264",120,120,"10,139",70,70,"11,125",50,50
서울특별시 성북구 (1129000000),"438,051","2,022","2,022","211,289","1,017","1,017","226,762","1,005","1,005"
서울특별시 성북구 성북동(1129052500),"16,938",77,77,"7,916",35,35,"9,022",42,42
서울특별시 성북구 삼선동(1129055500),"23,647",63,63,"11,262",29,29,"12,385",34,34
서울특별시 성북구 동선동(1129057500),"15,600",45,45,"6,551",20,20,"9,049",25,25
서울특별시 성북구 돈암제1동(1129058000),"15,330",72,72,"7,169",31,31,"8,161",41,41
서울특별시 성북구 돈암제2동(1129059000),"24,602",123,123,"11,697",66,66,"12,905",57,57
서울특별시 성북구 안암동(1129060000),"15,187",31,31,"7,666",16,16,"7,521",15,15
서울특별시 성북구 보문동(1129061000),"15,831",87,87,"7,663",47,47,"8,168",40,40
서울특별시 성북구 정릉제1동(1129062000),"18,730",97,97,"9,035",53,53,"9,695",44,44
서울특별시 성북구 정릉제2동(1129063000),"23,507",117,117,"11,368",54,54,"12,139",63,63
서울특별시 성북구 정릉제3동(1129064000),"15,562",56,56,"7,697",30,30,"7,865",26,26
서울특별시 성북구 정릉제4동(1129065000),"25,682",138,138,"12,422",75,75,"13,260",63,63
서울특별시 성북구 길음제1동(1129066000),"36,416",180,180,"17,328",81,81,"19,088",99,99
서울특별시 성북구 길음제2동(1129068500),"17,095",129,129,"8,261",66,66,"8,834",63,63
서울특별시 성북구 종암동(1129070500),"39,866",182,182,"19,655",89,89,"20,211",93,93
서울특별시 성북구 월곡제1동(1129071500),"26,948",137,137,"13,030",66,66,"13,918",71,71
서울특별시 성북구 월곡제2동(1129072500),"19,945",76,76,"9,579",40,40,"10,366",36,36
서울특별시 성북구 장위제1동(1129076000),"20,235",65,65,"9,870",33,33,"10,365",32,32
서울특별시 성북구 장위제2동(1129077000),"13,831",42,42,"6,837",25,25,"6,994",17,17
서울특별시 성북구 장위제3동(1129078000),"17,486",151,151,"8,652",80,80,"8,834",71,71
서울특별시 성북구 석관동(1129081000),"35,613",154,154,"17,631",81,81,"17,982",73,73
서울특별시 강북구 (1130500000),"308,569","1,007","1,007","150,423",530,530,"158,146",477,477
서울특별시 강북구 삼양동(1130553400),"24,593",99,99,"12,266",55,55,"12,327",44,44
서울특별시 강북구 미아동(1130553500),"22,260",53,53,"10,724",32,32,"11,536",21,21
서울특별시 강북구 송중동(1130554500),"30,389",131,131,"14,620",71,71,"15,769",60,60
서울특별시 강북구 송천동(1130555500),"27,508",65,65,"13,678",35,35,"13,830",30,30
서울특별시 강북구 삼각산동(1130557500),"32,093",142,142,"15,437",66,66,"16,656",76,76
서울특별시 강북구 번1동(1130559500),"19,078",51,51,"9,555",26,26,"9,523",25,25
서울특별시 강북구 번2동(1130560300),"16,473",52,52,"7,989",33,33,"8,484",19,19
서울특별시 강북구 번3동(1130560800),"17,587",47,47,"8,286",25,25,"9,301",22,22
